timestamp (Asia/Kolkata),heartrate
2020-12-06T08:39:46+05:30,177
2020-12-06T08:39:47+05:30,177
2020-12-06T08:39:53+05:30,179
2020-12-06T08:39:57+05:30,179
2020-12-06T08:40:06+05:30,178
2020-12-06T08:40:10+05:30,180
2020-12-06T08:40:13+05:30,181
2020-12-06T08:40:17+05:30,180
2020-12-06T08:40:22+05:30,179
2020-12-06T08:40:31+05:30,180
2020-12-06T08:40:32+05:30,180
2020-12-06T08:40:38+05:30,179
2020-12-06T08:40:42+05:30,179
2020-12-06T08:40:47+05:30,176
2020-12-06T08:40:55+05:30,176
2020-12-06T08:41:01+05:30,176
2020-12-06T08:41:02+05:30,177
2020-12-06T08:41:08+05:30,178
2020-12-06T08:41:12+05:30,177
2020-12-06T08:41:19+05:30,178
2020-12-06T08:41:22+05:30,179
2020-12-06T08:41:31+05:30,180
2020-12-06T08:41:33+05:30,180
2020-12-06T08:41:38+05:30,180
2020-12-06T08:41:45+05:30,179
2020-12-06T08:41:49+05:30,179
2020-12-06T08:41:52+05:30,178
2020-12-06T08:42:00+05:30,176
2020-12-06T08:42:04+05:30,175
2020-12-06T08:42:08+05:30,174
2020-12-06T08:42:16+05:30,171
2020-12-06T08:42:19+05:30,172
2020-12-06T08:42:26+05:30,171
2020-12-06T08:42:27+05:30,170
2020-12-06T08:43:31+05:30,175
2020-12-06T08:43:36+05:30,175
2020-12-06T08:43:37+05:30,175
2020-12-06T08:43:43+05:30,173
2020-12-06T08:43:47+05:30,173
2020-12-06T08:43:52+05:30,174
2020-12-06T08:43:57+05:30,177
2020-12-06T08:44:02+05:30,181
2020-12-06T08:44:07+05:30,182
2020-12-06T08:44:12+05:30,183
