time,gFx,gFy,gFz
2020-12-09 23:8:14.7990,-0.973,-1.183,-2.88,3.262
2020-12-09 23:8:14.8300,-1.416,-1.627,-2.526,3.322
2020-12-09 23:8:14.8300,-1.416,-1.627,-2.526,3.322
2020-12-09 23:8:14.8310,-1.416,-1.627,-2.526,3.322
2020-12-09 23:8:14.8410,-1.351,-1.549,-2.154,2.977
2020-12-09 23:8:14.8490,-1.145,-1.376,-1.785,2.528
2020-12-09 23:8:14.8580,-0.813,-1.226,-1.394,2.027
2020-12-09 23:8:14.8700,-0.45,-1.12,-0.978,1.554
2020-12-09 23:8:14.8790,-0.127,-1.051,-0.615,1.224
2020-12-09 23:8:14.8890,0.136,-0.996,-0.365,1.069
2020-12-09 23:8:14.8990,0.354,-0.938,-0.215,1.025
2020-12-09 23:8:14.9340,0.714,-0.835,-0.005,1.099
2020-12-09 23:8:14.9340,0.714,-0.835,-0.005,1.099
2020-12-09 23:8:14.9340,0.714,-0.835,-0.005,1.099
2020-12-09 23:8:14.9380,0.755,-0.832,-0.001,1.123
2020-12-09 23:8:14.9490,0.731,-0.807,-0.07,1.091
2020-12-09 23:8:14.9580,0.667,-0.768,-0.164,1.03
2020-12-09 23:8:14.9700,0.575,-0.705,-0.218,0.936
2020-12-09 23:8:14.9790,0.464,-0.636,-0.219,0.817
2020-12-09 23:8:14.9900,0.369,-0.576,-0.154,0.701
2020-12-09 23:8:15.0000,0.274,-0.507,-0.056,0.579
2020-12-09 23:8:15.0340,-0.047,-0.376,-0.022,0.38
2020-12-09 23:8:15.0340,-0.047,-0.376,-0.022,0.38
2020-12-09 23:8:15.0340,-0.047,-0.376,-0.022,0.38
2020-12-09 23:8:15.0390,-0.155,-0.383,-0.178,0.45
2020-12-09 23:8:15.0490,-0.207,-0.426,-0.373,0.603
2020-12-09 23:8:15.0590,-0.159,-0.503,-0.697,0.874
2020-12-09 23:8:15.0710,-0.028,-0.667,-1.136,1.318
2020-12-09 23:8:15.0800,0.168,-0.9,-1.613,1.855
2020-12-09 23:8:15.0900,0.292,-1.103,-1.933,2.245
2020-12-09 23:8:15.1000,0.273,-1.317,-2.191,2.571
2020-12-09 23:8:15.1320,-1.304,-0.832,-3.164,3.522
2020-12-09 23:8:15.1330,-1.304,-0.832,-3.164,3.522
2020-12-09 23:8:15.1330,-1.304,-0.832,-3.164,3.522
2020-12-09 23:8:15.1400,-1.651,-0.655,-2.93,3.426
2020-12-09 23:8:15.1520,-1.74,-0.504,-2.546,3.125
2020-12-09 23:8:15.1600,-1.557,-0.355,-2.096,2.635
2020-12-09 23:8:15.1690,-1.151,-0.367,-1.715,2.098
2020-12-09 23:8:15.1800,-0.78,-0.447,-1.479,1.731
2020-12-09 23:8:15.1900,-0.593,-0.477,-1.317,1.521
2020-12-09 23:8:15.2000,-0.521,-0.481,-1.157,1.357
2020-12-09 23:8:15.2360,-0.515,-0.374,-0.461,0.786
2020-12-09 23:8:15.2360,-0.515,-0.374,-0.461,0.786
